Name,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
Jan,1/1/2018,24,1,N,HB_HOUSTON,HU,28.51
Jan,1/1/2018,24,2,N,HB_HOUSTON,HU,28.46
Jan,1/1/2018,24,3,N,HB_HOUSTON,HU,27.81
Jan,1/1/2018,24,4,N,HB_HOUSTON,HU,27.41
Jan,1/2/2018,1,1,N,HB_HOUSTON,HU,27.5
Jan,1/2/2018,1,2,N,HB_HOUSTON,HU,27.52
Jan,1/2/2018,1,3,N,HB_HOUSTON,HU,27.36
Jan,1/2/2018,1,4,N,HB_HOUSTON,HU,27.31
Jan,1/2/2018,2,1,N,HB_HOUSTON,HU,27.46
Jan,1/2/2018,2,2,N,HB_HOUSTON,HU,27.32
Jan,1/2/2018,2,3,N,HB_HOUSTON,HU,27.18
Jan,1/2/2018,2,4,N,HB_HOUSTON,HU,27.05
Jan,1/2/2018,3,1,N,HB_HOUSTON,HU,27.07
Jan,1/2/2018,3,2,N,HB_HOUSTON,HU,27.06
Jan,1/2/2018,3,3,N,HB_HOUSTON,HU,26.98
Jan,1/2/2018,3,4,N,HB_HOUSTON,HU,26.9
Jan,1/2/2018,4,1,N,HB_HOUSTON,HU,26.94
Jan,1/2/2018,4,2,N,HB_HOUSTON,HU,27.1
Jan,1/2/2018,4,3,N,HB_HOUSTON,HU,27.32
Jan,1/2/2018,4,4,N,HB_HOUSTON,HU,27.6
Jan,1/2/2018,5,1,N,HB_HOUSTON,HU,27.57
Jan,1/2/2018,5,2,N,HB_HOUSTON,HU,27.78
Jan,1/2/2018,5,3,N,HB_HOUSTON,HU,28.21
Jan,1/2/2018,5,4,N,HB_HOUSTON,HU,28.76
Jan,1/2/2018,6,1,N,HB_HOUSTON,HU,28.42
Jan,1/2/2018,6,2,N,HB_HOUSTON,HU,29.1
Jan,1/2/2018,6,3,N,HB_HOUSTON,HU,29.77
Jan,1/2/2018,6,4,N,HB_HOUSTON,HU,30.57
Jan,1/2/2018,7,1,N,HB_HOUSTON,HU,33.1
Jan,1/2/2018,7,2,N,HB_HOUSTON,HU,34.66
Jan,1/2/2018,7,3,N,HB_HOUSTON,HU,35.96
Jan,1/2/2018,7,4,N,HB_HOUSTON,HU,38.36
Jan,1/2/2018,8,1,N,HB_HOUSTON,HU,39.53
Jan,1/2/2018,8,2,N,HB_HOUSTON,HU,39.8
Jan,1/2/2018,8,3,N,HB_HOUSTON,HU,39.96
Jan,1/2/2018,8,4,N,HB_HOUSTON,HU,40.35
Jan,1/2/2018,9,1,N,HB_HOUSTON,HU,40.85
Jan,1/2/2018,9,2,N,HB_HOUSTON,HU,41.98
