Name,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
Jan_1,1/1/2015,1,1,N,HB_HOUSTON,HU,22.5
Jan_1,1/1/2015,1,2,N,HB_HOUSTON,HU,22.56
Jan_1,1/1/2015,1,3,N,HB_HOUSTON,HU,22.42
Jan_1,1/1/2015,1,4,N,HB_HOUSTON,HU,22.39
Jan_1,1/1/2015,2,1,N,HB_HOUSTON,HU,22.39
Jan_1,1/1/2015,2,2,N,HB_HOUSTON,HU,22.36
Jan_1,1/1/2015,2,3,N,HB_HOUSTON,HU,22.26
Jan_1,1/1/2015,2,4,N,HB_HOUSTON,HU,22.21
Jan_1,1/1/2015,3,1,N,HB_HOUSTON,HU,22.18
Jan_1,1/1/2015,3,2,N,HB_HOUSTON,HU,22.22
Jan_1,1/1/2015,3,3,N,HB_HOUSTON,HU,22.24
Jan_1,1/1/2015,3,4,N,HB_HOUSTON,HU,22.17
Jan_1,1/1/2015,4,1,N,HB_HOUSTON,HU,22.17
Jan_1,1/1/2015,4,2,N,HB_HOUSTON,HU,22.13
Jan_1,1/1/2015,4,3,N,HB_HOUSTON,HU,22.08
Jan_1,1/1/2015,4,4,N,HB_HOUSTON,HU,22.13
Jan_1,1/1/2015,5,1,N,HB_HOUSTON,HU,22.14
Jan_1,1/1/2015,5,2,N,HB_HOUSTON,HU,22.11
Jan_1,1/1/2015,5,3,N,HB_HOUSTON,HU,22.15
Jan_1,1/1/2015,5,4,N,HB_HOUSTON,HU,22.22
Jan_1,1/1/2015,6,1,N,HB_HOUSTON,HU,22.42
Jan_1,1/1/2015,6,2,N,HB_HOUSTON,HU,22.47
Jan_1,1/1/2015,6,3,N,HB_HOUSTON,HU,22.68
Jan_1,1/1/2015,6,4,N,HB_HOUSTON,HU,22.87
Jan_1,1/1/2015,7,1,N,HB_HOUSTON,HU,23.16
Jan_1,1/1/2015,7,2,N,HB_HOUSTON,HU,23.32
Jan_1,1/1/2015,7,3,N,HB_HOUSTON,HU,23.46
Jan_1,1/1/2015,7,4,N,HB_HOUSTON,HU,23.58
Jan_1,1/1/2015,8,1,N,HB_HOUSTON,HU,23.67
Jan_1,1/1/2015,8,2,N,HB_HOUSTON,HU,23.68
Jan_1,1/1/2015,8,3,N,HB_HOUSTON,HU,23.83
Jan_1,1/1/2015,8,4,N,HB_HOUSTON,HU,23.93
Jan_1,1/1/2015,9,1,N,HB_HOUSTON,HU,23.92
Jan_1,1/1/2015,9,2,N,HB_HOUSTON,HU,24.14
Jan_1,1/1/2015,9,3,N,HB_HOUSTON,HU,24.69
Jan_1,1/1/2015,9,4,N,HB_HOUSTON,HU,25.09
Jan_1,1/1/2015,10,1,N,HB_HOUSTON,HU,25.63
Jan_1,1/1/2015,10,2,N,HB_HOUSTON,HU,26.7
Jan_1,1/1/2015,10,3,N,HB_HOUSTON,HU,27.32
Jan_1,1/1/2015,10,4,N,HB_HOUSTON,HU,28.32
Jan_1,1/1/2015,11,1,N,HB_HOUSTON,HU,27.52
Jan_1,1/1/2015,11,2,N,HB_HOUSTON,HU,28.28
Jan_1,1/1/2015,11,3,N,HB_HOUSTON,HU,27.97
Jan_1,1/1/2015,11,4,N,HB_HOUSTON,HU,28.07
Jan_1,1/1/2015,12,1,N,HB_HOUSTON,HU,28.24
Jan_1,1/1/2015,12,2,N,HB_HOUSTON,HU,28.56
Jan_1,1/1/2015,12,3,N,HB_HOUSTON,HU,28.43
Jan_1,1/1/2015,12,4,N,HB_HOUSTON,HU,28.47
Jan_1,1/1/2015,13,1,N,HB_HOUSTON,HU,27.87
Jan_1,1/1/2015,13,2,N,HB_HOUSTON,HU,27.99
Jan_1,1/1/2015,13,3,N,HB_HOUSTON,HU,27.22
Jan_1,1/1/2015,13,4,N,HB_HOUSTON,HU,26.88
Jan_1,1/1/2015,14,1,N,HB_HOUSTON,HU,26.78
Jan_1,1/1/2015,14,2,N,HB_HOUSTON,HU,25.82
Jan_1,1/1/2015,14,3,N,HB_HOUSTON,HU,26.2
Jan_1,1/1/2015,14,4,N,HB_HOUSTON,HU,25.98
Jan_1,1/1/2015,15,1,N,HB_HOUSTON,HU,25.4
Jan_1,1/1/2015,15,2,N,HB_HOUSTON,HU,24.86
Jan_1,1/1/2015,15,3,N,HB_HOUSTON,HU,24.59
Jan_1,1/1/2015,15,4,N,HB_HOUSTON,HU,24.59
Jan_1,1/1/2015,16,1,N,HB_HOUSTON,HU,24.68
Jan_1,1/1/2015,16,2,N,HB_HOUSTON,HU,24.61
Jan_1,1/1/2015,16,3,N,HB_HOUSTON,HU,24.44
Jan_1,1/1/2015,16,4,N,HB_HOUSTON,HU,24.76
Jan_1,1/1/2015,17,1,N,HB_HOUSTON,HU,25.05
Jan_1,1/1/2015,17,2,N,HB_HOUSTON,HU,25.24
Jan_1,1/1/2015,17,3,N,HB_HOUSTON,HU,25.48
Jan_1,1/1/2015,17,4,N,HB_HOUSTON,HU,26.36
Jan_1,1/1/2015,18,1,N,HB_HOUSTON,HU,27.99
Jan_1,1/1/2015,18,2,N,HB_HOUSTON,HU,29.38
