Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price,Name
1/1/2017,01:00,N,HB_HOUSTON,23.23,Jan
1/1/2017,02:00,N,HB_HOUSTON,21.82,Jan
1/1/2017,03:00,N,HB_HOUSTON,20.16,Jan
1/1/2017,04:00,N,HB_HOUSTON,20,Jan
1/1/2017,05:00,N,HB_HOUSTON,20.24,Jan
1/1/2017,06:00,N,HB_HOUSTON,21.45,Jan
1/1/2017,07:00,N,HB_HOUSTON,24.35,Jan
1/1/2017,08:00,N,HB_HOUSTON,24.06,Jan
1/1/2017,09:00,N,HB_HOUSTON,25.48,Jan
1/1/2017,10:00,N,HB_HOUSTON,24.94,Jan
1/1/2017,11:00,N,HB_HOUSTON,28,Jan
1/1/2017,12:00,N,HB_HOUSTON,25.06,Jan
1/1/2017,13:00,N,HB_HOUSTON,23.71,Jan
1/1/2017,14:00,N,HB_HOUSTON,23.25,Jan
1/1/2017,15:00,N,HB_HOUSTON,24,Jan
1/1/2017,16:00,N,HB_HOUSTON,23.22,Jan
1/1/2017,17:00,N,HB_HOUSTON,22.94,Jan
1/1/2017,18:00,N,HB_HOUSTON,41.99,Jan
1/1/2017,19:00,N,HB_HOUSTON,34.99,Jan
1/1/2017,20:00,N,HB_HOUSTON,24.97,Jan
1/1/2017,21:00,N,HB_HOUSTON,24.28,Jan
1/1/2017,22:00,N,HB_HOUSTON,23.22,Jan
1/1/2017,23:00,N,HB_HOUSTON,20.19,Jan
1/1/2017,24:00,N,HB_HOUSTON,17.92,Jan
1/2/2017,01:00,N,HB_HOUSTON,17.52,Jan
1/2/2017,02:00,N,HB_HOUSTON,17.52,Jan
1/2/2017,03:00,N,HB_HOUSTON,17.1,Jan
1/2/2017,04:00,N,HB_HOUSTON,16.57,Jan
1/2/2017,05:00,N,HB_HOUSTON,15.82,Jan
1/2/2017,06:00,N,HB_HOUSTON,15.82,Jan
1/2/2017,07:00,N,HB_HOUSTON,15.92,Jan
1/2/2017,08:00,N,HB_HOUSTON,17.09,Jan
1/2/2017,09:00,N,HB_HOUSTON,18.53,Jan
1/2/2017,10:00,N,HB_HOUSTON,21.8,Jan
1/2/2017,11:00,N,HB_HOUSTON,23.52,Jan
1/2/2017,12:00,N,HB_HOUSTON,24.07,Jan
1/2/2017,13:00,N,HB_HOUSTON,24.8,Jan
1/2/2017,14:00,N,HB_HOUSTON,24.14,Jan
1/2/2017,15:00,N,HB_HOUSTON,24.89,Jan
1/2/2017,16:00,N,HB_HOUSTON,22.34,Jan
1/2/2017,17:00,N,HB_HOUSTON,23.4,Jan
1/2/2017,18:00,N,HB_HOUSTON,50.8,Jan
1/2/2017,19:00,N,HB_HOUSTON,30.09,Jan
1/2/2017,20:00,N,HB_HOUSTON,24.74,Jan
1/2/2017,21:00,N,HB_HOUSTON,24.02,Jan
1/2/2017,22:00,N,HB_HOUSTON,22.93,Jan
