Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price,Name
1/1/2016,1,1,N,HB_HOUSTON,HU,15.48,Jan_1
1/1/2016,1,2,N,HB_HOUSTON,HU,15.33,Jan_1
1/1/2016,1,3,N,HB_HOUSTON,HU,15.5,Jan_1
1/1/2016,1,4,N,HB_HOUSTON,HU,15.43,Jan_1
1/1/2016,2,1,N,HB_HOUSTON,HU,15.27,Jan_1
1/1/2016,2,2,N,HB_HOUSTON,HU,15.21,Jan_1
1/1/2016,2,3,N,HB_HOUSTON,HU,15.21,Jan_1
1/1/2016,2,4,N,HB_HOUSTON,HU,15.12,Jan_1
1/1/2016,3,1,N,HB_HOUSTON,HU,15.11,Jan_1
1/1/2016,3,2,N,HB_HOUSTON,HU,14.97,Jan_1
1/1/2016,3,3,N,HB_HOUSTON,HU,14.99,Jan_1
1/1/2016,3,4,N,HB_HOUSTON,HU,14.91,Jan_1
1/1/2016,4,1,N,HB_HOUSTON,HU,15.05,Jan_1
1/1/2016,4,2,N,HB_HOUSTON,HU,14.94,Jan_1
1/1/2016,4,3,N,HB_HOUSTON,HU,14.95,Jan_1
1/1/2016,4,4,N,HB_HOUSTON,HU,15.08,Jan_1
1/1/2016,5,1,N,HB_HOUSTON,HU,15.32,Jan_1
1/1/2016,5,2,N,HB_HOUSTON,HU,15.38,Jan_1
1/1/2016,5,3,N,HB_HOUSTON,HU,15.46,Jan_1
1/1/2016,5,4,N,HB_HOUSTON,HU,15.42,Jan_1
1/1/2016,6,1,N,HB_HOUSTON,HU,15.62,Jan_1
1/1/2016,6,2,N,HB_HOUSTON,HU,15.4,Jan_1
1/1/2016,6,3,N,HB_HOUSTON,HU,15.52,Jan_1
1/1/2016,6,4,N,HB_HOUSTON,HU,15.53,Jan_1
1/1/2016,7,1,N,HB_HOUSTON,HU,15.68,Jan_1
1/1/2016,7,2,N,HB_HOUSTON,HU,15.85,Jan_1
1/1/2016,7,3,N,HB_HOUSTON,HU,16.09,Jan_1
1/1/2016,7,4,N,HB_HOUSTON,HU,16.37,Jan_1
1/1/2016,8,1,N,HB_HOUSTON,HU,16.63,Jan_1
1/1/2016,8,2,N,HB_HOUSTON,HU,16.66,Jan_1
1/1/2016,8,3,N,HB_HOUSTON,HU,16.71,Jan_1
1/1/2016,8,4,N,HB_HOUSTON,HU,16.83,Jan_1
1/1/2016,9,1,N,HB_HOUSTON,HU,16.86,Jan_1
1/1/2016,9,2,N,HB_HOUSTON,HU,16.98,Jan_1
1/1/2016,9,3,N,HB_HOUSTON,HU,17.04,Jan_1
1/1/2016,9,4,N,HB_HOUSTON,HU,17.02,Jan_1
1/1/2016,10,1,N,HB_HOUSTON,HU,17.04,Jan_1
1/1/2016,10,2,N,HB_HOUSTON,HU,17.07,Jan_1
1/1/2016,10,3,N,HB_HOUSTON,HU,17.2,Jan_1
1/1/2016,10,4,N,HB_HOUSTON,HU,17.34,Jan_1
1/1/2016,11,1,N,HB_HOUSTON,HU,17.38,Jan_1
1/1/2016,11,2,N,HB_HOUSTON,HU,17.38,Jan_1
1/1/2016,11,3,N,HB_HOUSTON,HU,17.4,Jan_1
1/1/2016,11,4,N,HB_HOUSTON,HU,17.47,Jan_1
1/1/2016,12,1,N,HB_HOUSTON,HU,17.33,Jan_1
1/1/2016,12,2,N,HB_HOUSTON,HU,17.03,Jan_1
1/1/2016,12,3,N,HB_HOUSTON,HU,17.13,Jan_1
1/1/2016,12,4,N,HB_HOUSTON,HU,17.1,Jan_1
1/1/2016,13,1,N,HB_HOUSTON,HU,17.27,Jan_1
1/1/2016,13,2,N,HB_HOUSTON,HU,17.33,Jan_1
1/1/2016,13,3,N,HB_HOUSTON,HU,17.34,Jan_1
1/1/2016,13,4,N,HB_HOUSTON,HU,17.4,Jan_1
1/1/2016,14,1,N,HB_HOUSTON,HU,17.49,Jan_1
1/1/2016,14,2,N,HB_HOUSTON,HU,17.55,Jan_1
1/1/2016,14,3,N,HB_HOUSTON,HU,17.53,Jan_1
1/1/2016,14,4,N,HB_HOUSTON,HU,17.6,Jan_1
1/1/2016,15,1,N,HB_HOUSTON,HU,17.5,Jan_1
1/1/2016,15,2,N,HB_HOUSTON,HU,17.57,Jan_1
1/1/2016,15,3,N,HB_HOUSTON,HU,17.5,Jan_1
1/1/2016,15,4,N,HB_HOUSTON,HU,17.5,Jan_1
1/1/2016,16,1,N,HB_HOUSTON,HU,17.51,Jan_1
1/1/2016,16,2,N,HB_HOUSTON,HU,17.51,Jan_1
